,drug_name,generic_code,global_name,drug_type,how_to_use,license_owner,license_expire,price,unit_price,GTIN,IRC,count_per_package,package_image,drug_image,usage,effect_process,farmakokintik,warnings,side_effects,Interference,advices,drug_url
0,EZONIUM ABIDI,13973,"ESOMEPRAZOLE CAPSULE, DELAYED RELEASE ORAL 20 mg","CAPSULE, DELAYED RELEASE",ORAL,داروسازی دکتر عبیدی,1402/11/07,"[{'insurance': 'niro_mosalah', 'MinPrice': 4000, 'MaxPrice': 4000}]",7500,06260154618177,2022602740501116,"28 CAPSULE, DELAYED RELEASE in 1 BOTTLE in 1 BOX",https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,این دارو درمان زخم¬‎‌هاي خوش¬خيم معده و دوازدهه، زخم‌¬هاي وابسته به هليكوباكتر پيلوري، سندرم زولينگر– اليسون، به منظور كاهش اسيد معده در جراحي و پيشگيري كوتاه¬مدت بازگشت محتويات معده به مري و درمان مصرف می شود.,,,"1- در نارسایی شدید کبدی حداکثر مقدار روزانه 20 میلی¬گرم در بزرگسالان و 10 میلی¬گرم در کودکان است. 
2- این دارو می¬تواند علائم سرطان معده را بپوشاند. 
3- بیمارانی که در ریسک استئوپورز هستند باید مقادیر کافی کلسیم و ویتامین دی دریافت کنند.","1- در نارسایی شدید کبدی حداکثر مقدار روزانه 20 میلی¬گرم در بزرگسالان و 10 میلی¬گرم در کودکان است. 
2- این دارو می¬تواند علائم سرطان معده را بپوشاند. 
3- بیمارانی که در ریسک استئوپورز هستند باید مقادیر کافی کلسیم و ویتامین دی دریافت کنند.",این دارو یک مهارکننده ایزوآنزیم های کبدی است و می¬تواند با داروهایی که سوبسترای این آنزیم هستند تداخل داشته باشد.,دارو حداقل یک ساعت قبل از غذا (صبحانه) مصرف شود.,https://irc.fda.gov.ir/NFI/Detail/32387
1,BAREX,50003,BARIUM SULFATE SUSPENSION ORAL 1 g/1mL 240MILLILITER,SUSPENSION,ORAL,کارخانجات دارو پخش,1402/08/04,"[{'insurance': 'tamin', 'MinPrice': 40000, 'MaxPrice': 68000}, {'insurance': 'niro_mosalah', 'MinPrice': 70000, 'MaxPrice': 70000}]",0,06260132429672,6478907641722330,1 BOTTLE in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=9f33060e-2f15-4ac9-8c03-77e6166eb206,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=9f33060e-2f15-4ac9-8c03-77e6166eb206,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/15173
2,TRIROLE,10029,FENOFIBRATE CAPSULE ORAL 100 mg,CAPSULE,ORAL,داروسازی ابوریحان,1401/12/08,"[{'insurance': 'niro_mosalah', 'MinPrice': 309400, 'MaxPrice': 309400}]",2160,06260164690101,6305091603818763,100 CAPSULE in 10 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,فنوفیبرات برای کنترل چربی خون مصرف می¬شود.,,,"1- قبل از شروع درمان با این دارو، کم کاری تیروئید باید جبران شود.
2- در نارسایی کبد و کلیه،  باید با احتیاط فراوان مصرف شود.","1- قبل از شروع درمان با این دارو، کم کاری تیروئید باید جبران شود.
2- در نارسایی کبد و کلیه،  باید با احتیاط فراوان مصرف شود.",فیبرات¬ها، اثرات داروهای ضدانعقاد خوراکی را افزایش می¬دهند. این دارو با داروهایی مانند تولبوتامید و سایر ضددیابت¬های سولفونیل¬اوره، فنی¬توئین، و فوروزماید تداخل دارد. خطر بروز میوپاتی در صورت مصرف همزمان این دارو با استاتین¬ها افزایش می-یابد. احتمال افزایش غلظت سیکلوسپورین و بروز مسمومیت کلیوی ناشی از آن، در صورت مصرف همزمان با این دارو وجود دارد.,,https://irc.fda.gov.ir/NFI/Detail/2722
3,PEGINTRON,10932,"PEGINTERFERON ALFA-2B INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 100 ug","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",PARENTERAL,Merck Sharp & Dohme,1396/06/12,"[{'insurance': 'tamin', 'MinPrice': 23000, 'MaxPrice': 23000}, {'insurance': 'salamat', 'MinPrice': 30500, 'MaxPrice': 30500}, {'insurance': 'niro_mosalah', 'MinPrice': 305000, 'MaxPrice': 305000}]",0,06260505600769,7003884706268494,1 VIAL in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=2b96d49c-07f7-44d5-8f06-2e39282cc50c,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=2b96d49c-07f7-44d5-8f06-2e39282cc50c,اين دارو به ¬تنهایي يا همراه با ريباورين براي درمان بيماران مبتلا به هپاتيت C مزمن كه قبلاً اينترفرون آلفا دريافت نكرده ¬باشند و بيماري كبدي آن¬ها جبران شده باشد يا حداقل داراي 18 سال سن باشند، استفاده مي¬شود.,,,"1- اين دارو بايد در افراد داراي سابقه افسردگي باید با احتياط فراوان مصرف شود. صورت بروز افسردگی شدید، مصرف دارو را باید قطع کرد.
2- قبل از تجويز و در حين درمان آزمايشات شمارش كامل سلولي (CBC) به طور معمول انجام شود.
3- در صورت بروز درد شكمي، اسهال خوني، تب (علائم شاخص كوليت)، مصرف دارو بايد قطع گردد.
4- احتمال بروز پانكراتيت كشنده وجود دارد.
5- مصرف دارو بايد در افراد مبتلا به اختلال تنفسي نامعلوم يا مداوم قطع شود.
6- با مشاهده علائم پركاري يا كم¬كاري تيروئيد، افزايش يا كاهش قندخون و ديابت و علائم حساسيت مفرط بايد مصرف دارو قطع گردد.
7- به ¬دليل احتمال بروز يا تشديد اختلالات خودايمني مثل ميوزيت، هپاتيت، پورپوراي ترومبوسيتوپنيك ايديوپاتيك، پسوريازيس، آرتريت روماتوئيد، نفريت بينابيني، التهاب تیروئید و لوپوس اريتماتوز سيستميك در هنگام مصرف اين فراورده براي بيماران اختلالات خودايمني، باید احتياطات لازم صورت گيرد.
8- به¬ دليل احتمال بروز افزایش فشار خون، آریتمی فوق¬بطني، درد قفسه سينه و انفاركتوس قلبي، براي بيماران قلبي اين فراورده بايد با احتياط فراوان مصرف شود. قبل از تجويز نيز بايد معاينات قلبي-عروقي انجام گيرد.
9- قبل از شروع درمان بايد معاينه چشم پزشكي صورت گيرد و در صورت بروز يا تشديد هر گونه اختلال بينایي مصرف دارو بايد قطع گردد.","1- اين دارو بايد در افراد داراي سابقه افسردگي باید با احتياط فراوان مصرف شود. صورت بروز افسردگی شدید، مصرف دارو را باید قطع کرد.
2- قبل از تجويز و در حين درمان آزمايشات شمارش كامل سلولي (CBC) به طور معمول انجام شود.
3- در صورت بروز درد شكمي، اسهال خوني، تب (علائم شاخص كوليت)، مصرف دارو بايد قطع گردد.
4- احتمال بروز پانكراتيت كشنده وجود دارد.
5- مصرف دارو بايد در افراد مبتلا به اختلال تنفسي نامعلوم يا مداوم قطع شود.
6- با مشاهده علائم پركاري يا كم¬كاري تيروئيد، افزايش يا كاهش قندخون و ديابت و علائم حساسيت مفرط بايد مصرف دارو قطع گردد.
7- به ¬دليل احتمال بروز يا تشديد اختلالات خودايمني مثل ميوزيت، هپاتيت، پورپوراي ترومبوسيتوپنيك ايديوپاتيك، پسوريازيس، آرتريت روماتوئيد، نفريت بينابيني، التهاب تیروئید و لوپوس اريتماتوز سيستميك در هنگام مصرف اين فراورده براي بيماران اختلالات خودايمني، باید احتياطات لازم صورت گيرد.
8- به¬ دليل احتمال بروز افزایش فشار خون، آریتمی فوق¬بطني، درد قفسه سينه و انفاركتوس قلبي، براي بيماران قلبي اين فراورده بايد با احتياط فراوان مصرف شود. قبل از تجويز نيز بايد معاينات قلبي-عروقي انجام گيرد.
9- قبل از شروع درمان بايد معاينه چشم پزشكي صورت گيرد و در صورت بروز يا تشديد هر گونه اختلال بينایي مصرف دارو بايد قطع گردد.",از مصرف همزمان این فراورده با واکسن¬های حاوی ویروس زنده باید خودداری شود.,"1- براي همه بيماران قبل از شروع درمان و به ¬صورت دوره¬اي (هر 2 تا 4 هفته) در طي درمان، آزمون¬هاي استاندارد خوني و بيوشيميایي بايد انجام شود.
2- بعد از 6 ماه درمان، سطح HCV RNA باید اندازه¬گيري شود و در صورت بالا بودن سطح ويروسي مصرف دارو بايد قطع گردد. 
3- مصرف اين دارو موجب كاهش گویچه¬هاي خوني و پلاكت¬ها مي¬شود. اختلالات خوني بعد از كاهش مقدار يا قطع مصرف بهبود مي¬يابد.
4- بيماران مبتلا به نارسایي كليه بايد تحت مراقبت قرار گيرند و در صورت لزوم مقدار مصرف اين دارو را بايد تعديل كرد.",https://irc.fda.gov.ir/NFI/Detail/1136
4,VALSARTAN,52460,VALSARTAN TABLET ORAL 40 mg,TABLET,ORAL,لابراتوارهای رازک,1398/06/07,"[{'insurance': 'tamin', 'MinPrice': 8400, 'MaxPrice': 11500}]",3600,06260154202505,3078652679869627,100 TABLET in 10 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=ee8b4e0e-2854-4ab7-9111-0372493995b6,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=ee8b4e0e-2854-4ab7-9111-0372493995b6,"این دارو در کنترل پرفشاری خون، در بیماران قلبی-عروقی مبتلا به نارسایی عملکرد بطن چپ پس از انفارکتوس میوکارد و در کنترل نارسایی قلبی مصرف می¬شود.
والزارتان به صورت ترکیبی با هیدروکلرتیازید یا آملودیپین در یک قرص واحد نیز در بازار وجود دارد. به بخش اشکال داروئی مراجعه شود.",,,در بیماران مبتلا به نارسایی کبد، سیروز و انسداد مجرای صفراوی باید با احتیاط فراوان مصرف شود.,در بیماران مبتلا به نارسایی کبد، سیروز و انسداد مجرای صفراوی باید با احتیاط فراوان مصرف شود.,در بيماراني كه از مدرها استفاده می¬کنند، كاهش علامتي فشار خون پس از شروع درمان با این دارو بروز مي¬نمايد.,,https://irc.fda.gov.ir/NFI/Detail/27765
5,ACICLOVIR,52222,"ACICLOVIR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 mg","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",PARENTERAL,داروسازی اکسیر,1401/05/24,"[{'insurance': 'tamin', 'MinPrice': 1000, 'MaxPrice': 1450}, {'insurance': 'niro_mosalah', 'MinPrice': 1849000, 'MaxPrice': 1849000}]",126000,06260153058929,7497718322442836,"1 VIAL, GLASS in 1 BOX",https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,https://irc.fda.gov.ir//content/Images/packageimage-notavailable.png,پماد چشمي آسيكلووير براي درمان موضعي التهاب قرنيه ناشي از ويروس تبخال مصرف می-‌شود.,,,,,,,https://irc.fda.gov.ir/NFI/Detail/8897
6,DICLOFENAC-BEHVAZAN,50071,DICLOFENAC SODIUM SUPPOSITORY RECTAL 50 mg,SUPPOSITORY,RECTAL,دارو سازی بهوزان,1402/05/22,"[{'insurance': 'tamin', 'MinPrice': 310, 'MaxPrice': 360}, {'insurance': 'niro_mosalah', 'MinPrice': 2580, 'MaxPrice': 2580}]",8600,06260160516313,3952543056169967,5 SUPPOSITORY in 1 STRIP in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=7f386ec2-5431-4963-82f7-0da301ffc9f2,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=7f386ec2-5431-4963-82f7-0da301ffc9f2,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/8140
7,METFORMIN,51960,METFORMIN HYDROCHLORIDE TABLET ORAL 500 mg,TABLET,ORAL,فن آوریهای نوین دارویی آتیه,1401/09/27,"[{'insurance': 'tamin', 'MinPrice': 1700, 'MaxPrice': 2200}, {'insurance': 'niro_mosalah', 'MinPrice': 80000, 'MaxPrice': 80000}]",1870,06260589802820,8694012235856056,100 TABLET in 10 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=29c50e05-04e8-476e-9bdc-c699d1bd0b26,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=29c50e05-04e8-476e-9bdc-c699d1bd0b26,,,,,,,,https://irc.fda.gov.ir/NFI/Detail/8963
8,TRIPLINE,10031,AMITRIPTYLINE HYDROCHLORIDE TABLET ORAL 100 mg,TABLET,ORAL,کارخانجات دارو پخش,1403/10/17,"[{'insurance': 'niro_mosalah', 'MinPrice': 1450, 'MaxPrice': 1450}]",2880,06260132414593,7525682736019934,100 TABLET in 10 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=83e80779-92c4-446f-af44-205ec1d58269,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=83e80779-92c4-446f-af44-205ec1d58269,آمی¬تریپتیلین براي درمان افسردگي  مصرف می¬‌شود.,,,در صورت وجود اختلالات دو قطبي، اختلالات خوني، گوارشي يا قلبي–عروقي، افزايش فشار كره چشم، گلوكوم، پركاري تيروئيد، هيپرتروفي پروستات، نارسایی کبد و کلیه، اسكيزوفرني، حملات تشنجي و  احتباس ادرار با احتياط فراوان مصرف شود.  .,در صورت وجود اختلالات دو قطبي، اختلالات خوني، گوارشي يا قلبي–عروقي، افزايش فشار كره چشم، گلوكوم، پركاري تيروئيد، هيپرتروفي پروستات، نارسایی کبد و کلیه، اسكيزوفرني، حملات تشنجي و  احتباس ادرار با احتياط فراوان مصرف شود.  .,مصرف همزمان اين دارو با مهاركننده های آنزيم مونوآمين اكسيداز باعث تحريك CNS، افزایش فشار خون و سندرم سروتونين می‌¬گردد. اين دارو از طريق كاهش آستانه تشنج با اثر دارو¬‌هاي ضدصرع، مقابله می‌¬کند. بعضي از دارو¬‌هاي ضدصرع با كاهش غلظت پلاسمايي آمی-تریپتیلین، اثر ضدافسردگي آن را كاهش مي‌دهند. اين دارو اثر کاهنده فشار خون كلونيدين و گوانیتیدین را كاهش مي‌دهد. مصرف همزمان اين دارو با فنوتيازين‎‌ها موجب افزايش عوارض جانبي ضد‎موسكاريني و تسكين¬‎بخش هر دو دارو می¬‌شود. همچنين احتمال بروز حملات تشنجي افزايش مي‎¬يابد. مصرف همزمان اين دارو با دارو‌¬هاي مقلد سمپاتيك ممكن است سبب تشديد عوارض قلبي-عروقي و احتمالاً بروز آريتمي، تاكي¬كاردي يا افزايش فشار خون شود. سايمتيدين با مهار متابوليسم اين دارو، غلظت پلاسمايي آن را افزايش مي‌دهد. مصرف همزمان اين دارو با دارو‌¬هاي ضدتيروئيد ممكن است خطر بروز آگرانولوسيتوز را افزايش دهد. مصرف همزمان فراورده‎¬هاي حاوي الكل و ساير دارو¬‌هاي مضعف CNS با اين دارو ممكن است سبب بروز ضعف شديد CNS، ضعف تنفسي و كاهش فشار خون شود.,"1- از قطع ناگهاني مصرف دارو بايد پرهيز شود. در صورت نياز، كاهش مقدار مصرف بايد تدريجي و در طول يك دوره حداقل 4 هفته¬‌اي انجام شود.
2- در هفته‎¬‌هاي اول درمان به ¬دليل افزايش تمايل به خودكشي بايد بيمار را تحت¬ نظر قرار داد.
3- براي شروع اثرات درماني اين دارو حداقل 6-1 هفته وقت لازم است.
4- به علت نيمه¬عمر طولاني دارو، تجويز يك نوبت آن در موقع خواب،‌ كفايت می¬‌کند.
5- به بيمار بايد يادآوري شود كه در صورت بروز علائم ضد‎موسكاريني به درمان ادامه دهد، چون به اين اثرات تا حدي تحمل ایجاد می¬‌شود.
6- در صورت وجود سابقه مصرف مهاركننده‎¬هاي آنزيم MAO، بايد دو هفته بعد از قطع آن، مصرف آمی¬تریپتیلین را آغاز كند.
7- در صورت ضرورت مصرف داروي مهاركننده مونوآمين اكسيداز بايد حداقل يك هفته بين قطع مصرف اين دارو و شروع داروي جديد فاصله زماني ايجاد شود. 
8- اين دارو با ايجاد خواب‎¬آلودگي، ممكن است بر اعمالي كه نياز به مهارت و هوشياري دارند، مانند رانندگي، تأثير بگذارد.
9- به¬دليل بروز منگي و سرگيجه هنگام برخاستن از حالت خوابيده و نشسته بايد احتياط نمود.
10- با مصرف اين دارو، خشكي د‌هان ممكن است بروز نمايد. در صورت تداوم اين عارضه به ¬مدت بيش از 2 هفته، بايد به پزشك مراجعه شود.",https://irc.fda.gov.ir/NFI/Detail/6292
9,LINOQIN,10029,LEVOFLOXACIN TABLET ORAL 500 mg,TABLET,ORAL,دارو سازی تسنیم,1403/08/19,"[{'insurance': 'niro_mosalah', 'MinPrice': 2880, 'MaxPrice': 2880}]",25000,06260713900613,2637690526549592,6 TABLET in 2 BLISTER PACK in 1 BOX,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=5f9ac444-8d85-476f-9d6e-7704253b8b9d,https://irc.fda.gov.ir//AttachmentApi/LoadAttachment?id=5f9ac444-8d85-476f-9d6e-7704253b8b9d,این دارو در درمان کونژکتیویت باکتریال و زخم قرنیه استفاده می¬شود.,,,,,,,https://irc.fda.gov.ir/NFI/Detail/5236
